session_date,monkey,behavior_block_id,arm_posture_id,save_tag
2018-04-13,Cousteau,0,0,"1"
2018-04-20,Cousteau,0,0,"1"
2018-06-15,Cousteau,0,0,"1"
2018-06-22,Cousteau,0,0,"1,2"
2018-07-18,Cousteau,0,0,"1"
2018-09-25,Cousteau,0,0,"2,3"
2018-10-02,Cousteau,0,0,"1"
2018-10-03,Cousteau,0,0,"1"
2018-10-05,Cousteau,0,0,"1"
2018-10-09,Cousteau,0,0,"1"
2018-10-11,Cousteau,0,0,"1"
2018-10-16,Cousteau,0,0,"1"
2018-10-23,Cousteau,0,0,"1"
2018-10-25,Cousteau,0,0,"1,2"
2018-10-26,Cousteau,0,0,"1,3,6"
2019-01-30,Cousteau,0,0,"1"
2019-02-01,Cousteau,0,0,"1,3"
2019-02-04,Cousteau,0,0,"1"
2019-02-06,Cousteau,0,0,"1"
2019-02-08,Cousteau,0,0,"1,3"
2019-02-12,Cousteau,0,0,"3"
2019-02-14,Cousteau,0,0,"2"
2019-02-19,Cousteau,0,0,"1"
2019-02-21,Cousteau,0,0,"1"
2019-02-26,Cousteau,0,0,"1"
2019-02-28,Cousteau,0,0,"2"
2019-05-20,Cousteau,0,1,"1"
2019-05-20,Cousteau,1,2,"3"
2019-05-20,Cousteau,2,1,"5"
2019-05-22,Cousteau,0,1,"1"
2019-05-22,Cousteau,1,2,"3"
2019-05-22,Cousteau,2,1,"5"
2019-05-24,Cousteau,0,1,"1"
2019-05-24,Cousteau,1,2,"3"
2019-05-24,Cousteau,2,1,"5"
2019-05-31,Cousteau,0,1,"1"
2019-05-31,Cousteau,1,2,"3"
2019-05-31,Cousteau,2,1,"5"
2019-06-06,Cousteau,0,1,"2"
2019-06-06,Cousteau,1,2,"4"
2019-06-06,Cousteau,2,1,"6"
2019-06-21,Cousteau,0,1,"1"
2019-06-21,Cousteau,1,2,"3"
2019-06-21,Cousteau,2,1,"5"
2019-08-13,Cousteau,0,0,"1"
2019-08-14,Cousteau,0,0,"1"
2019-08-15,Cousteau,0,0,"1"
2019-08-19,Cousteau,0,0,"1"
2019-08-26,Cousteau,0,0,"1"
2019-08-27,Cousteau,0,0,"1"
2019-08-28,Cousteau,0,0,"1"
2019-09-06,Cousteau,0,0,"1"
2019-09-09,Cousteau,0,0,"1"
2019-09-10,Cousteau,0,0,"1"
2019-09-11,Cousteau,0,1,"4"
2019-09-13,Cousteau,0,0,"2"
2019-09-18,Cousteau,0,0,"1"
2019-09-23,Cousteau,0,0,"1"
2019-09-24,Cousteau,0,0,"1"
2019-09-25,Cousteau,0,0,"1"
2019-09-26,Cousteau,0,0,"1"
2019-10-15,Cousteau,0,0,"2:5"
2019-10-17,Cousteau,0,0,"1"
2019-10-24,Cousteau,0,0,"1"
2019-10-25,Cousteau,0,0,"2,3"
2019-10-28,Cousteau,0,0,"1"
2019-10-29,Cousteau,0,0,"1"
2019-10-30,Cousteau,0,0,"1"
2019-11-01,Cousteau,0,0,"2,4"
2019-11-22,Cousteau,0,0,"1"
2019-11-25,Cousteau,0,0,"1"
2019-12-02,Cousteau,0,0,"1"
2019-12-03,Cousteau,0,0,"1"
2019-12-05,Cousteau,0,0,"1,3"
2019-12-10,Cousteau,0,0,"1,3"
2019-12-11,Cousteau,0,0,"1,3"
2019-12-12,Cousteau,0,0,"1"
2019-12-13,Cousteau,0,0,"1,3"
2019-12-16,Cousteau,0,0,"1"
2020-01-03,Cousteau,0,0,"1,3"
2020-01-06,Cousteau,0,0,"1"
2020-01-08,Cousteau,0,0,"1"
